Column,Target,Field,Description,Datatype,Origin,Notes,Code,Todo,Format
21,2,DatastoreCapacityGB,List of Datastore Capacities / GB,Numeric Array,Native PowerCLI Value,,,,R

,1,Hardware,,,,,,,
5,2,Vendor,Hardware Vendor,String,Native PowerCLI Value,,$oVMHost.ExtensionData.Hardware.SystemInfo.Vendor,,
6,2,Model,Hardware Model,String,Native PowerCLI Value,,$oVMHost.ExtensionData.Hardware.SystemInfo.Model,,
7,2,SerialNumber,Hardware Serial Number,String,Native PowerCLI Value,,($oVMHost|get-esxcli -V2).hardware.platform.get.invoke().enclosureserialnumber,,
8,2,PSNT,"Dell VxRail ""DE"" Serial Number",String,Native PowerCLI Value,,,,
9,2,IPMIIP,iDRAC/iLo IP Address,String,Native PowerCLI Value,,($oVMHost|get-esxcli -V2).hardware.ipmi.bmc.get.invoke().ipv4address,,
16,2,MaxEVCMode,CPU Capability Level,String,Native PowerCLI Value,,$_.MaxEVCMode,,
17,2,ProcessorType,CPU Type,String,Native PowerCLI Value,,$_.ProcessorType,,

,1,Misc,,,,,,,
10,2,LicenseKey,Associated VM License Key,String,Native PowerCLI Value,,$_.LicenseKey,,
12,2,CryptoState,Crypography Capability State,String,Native PowerCLI Value,,$_.CryptoState,,
